CountyName,CustomersServed,CustomersAffected,timestamp,EMC
Dale,0,1,06-13-2024 01:55:03,PEA River Electric Coop
Henry,0,1,06-13-2024 12:40:03,PEA River Electric Coop
Henry,0,1,06-13-2024 12:55:02,PEA River Electric Coop
Barbour,0,1,06-13-2024 16:10:01,PEA River Electric Coop
Barbour,0,1,06-13-2024 16:25:02,PEA River Electric Coop
Barbour,0,1,06-13-2024 16:40:01,PEA River Electric Coop
Barbour,0,1,06-13-2024 16:55:01,PEA River Electric Coop
Barbour,0,1,06-13-2024 17:10:02,PEA River Electric Coop
Barbour,0,1,06-13-2024 17:25:01,PEA River Electric Coop
Barbour,0,1,06-13-2024 17:40:01,PEA River Electric Coop
Barbour,0,1,06-13-2024 17:55:03,PEA River Electric Coop
Barbour,0,1,06-13-2024 18:10:02,PEA River Electric Coop
Barbour,0,1,06-13-2024 18:25:03,PEA River Electric Coop
Barbour,0,1,06-13-2024 18:40:01,PEA River Electric Coop
Dale,0,1,06-14-2024 00:55:03,PEA River Electric Coop
Dale,0,1,06-14-2024 01:10:05,PEA River Electric Coop
Dale,0,1,06-14-2024 01:25:07,PEA River Electric Coop
Dale,0,1,06-14-2024 01:40:08,PEA River Electric Coop
Dale,0,1,06-14-2024 01:55:03,PEA River Electric Coop
Dale,0,2,06-14-2024 23:10:03,PEA River Electric Coop
Dale,0,2,06-14-2024 23:25:04,PEA River Electric Coop
Dale,0,2,06-14-2024 23:40:03,PEA River Electric Coop
Dale,0,4,06-15-2024 12:10:02,PEA River Electric Coop
Dale,0,4,06-15-2024 12:25:06,PEA River Electric Coop
Dale,0,4,06-15-2024 12:40:05,PEA River Electric Coop
Dale,0,4,06-15-2024 12:55:06,PEA River Electric Coop
Dale,0,3,06-15-2024 13:25:04,PEA River Electric Coop
Dale,0,3,06-15-2024 13:40:07,PEA River Electric Coop
Dale,0,3,06-15-2024 13:55:05,PEA River Electric Coop
Dale,0,3,06-15-2024 14:10:08,PEA River Electric Coop
Dale,0,3,06-15-2024 14:25:05,PEA River Electric Coop
Dale,0,3,06-15-2024 14:40:04,PEA River Electric Coop
Barbour,0,1,06-15-2024 14:40:04,PEA River Electric Coop
Barbour,0,1,06-15-2024 14:55:04,PEA River Electric Coop
Barbour,0,1,06-15-2024 15:10:05,PEA River Electric Coop
Dale,0,4,06-15-2024 15:25:08,PEA River Electric Coop
Dale,0,4,06-15-2024 15:40:07,PEA River Electric Coop
Dale,0,4,06-15-2024 15:55:03,PEA River Electric Coop
Dale,0,6,06-15-2024 16:10:04,PEA River Electric Coop
Dale,0,2,06-15-2024 16:25:05,PEA River Electric Coop
Henry,0,1,06-15-2024 22:10:03,PEA River Electric Coop
Henry,0,1,06-15-2024 22:25:06,PEA River Electric Coop
Henry,0,1,06-15-2024 22:40:03,PEA River Electric Coop
Henry,0,1,06-15-2024 22:55:04,PEA River Electric Coop
Henry,0,1,06-15-2024 23:10:05,PEA River Electric Coop
Henry,0,1,06-15-2024 23:25:05,PEA River Electric Coop
Henry,0,1,06-15-2024 23:40:05,PEA River Electric Coop
Henry,0,1,06-15-2024 23:55:05,PEA River Electric Coop
Henry,0,1,06-16-2024 01:10:04,PEA River Electric Coop
Henry,0,1,06-16-2024 01:25:03,PEA River Electric Coop
Henry,0,1,06-16-2024 01:40:01,PEA River Electric Coop
Henry,0,1,06-16-2024 01:55:01,PEA River Electric Coop
Henry,0,2,06-16-2024 23:25:02,PEA River Electric Coop
Henry,0,2,06-16-2024 23:40:03,PEA River Electric Coop
Dale,0,1,06-17-2024 00:55:03,PEA River Electric Coop
Dale,0,1,06-17-2024 01:10:07,PEA River Electric Coop
Dale,0,31,06-17-2024 02:55:03,PEA River Electric Coop
Dale,0,31,06-17-2024 03:10:05,PEA River Electric Coop
Dale,0,31,06-17-2024 03:25:04,PEA River Electric Coop
